,农、林、牧、渔业(A),采矿业(B),制造业(C),电力、热力、燃气及水生产和供应业(D),建筑业(E),批发和零售业(F),交通运输、仓储和邮政业(G),住宿和餐饮业(H),信息传输、软件和信息技术服务业(I),金融业(J),房地产业(K),租赁和商务服务业(L),科学研究和技术服务业(M),水利、环境和公共设施管理业(N),居民服务、修理和其他服务业(O),教育(P),卫生和社会工作(Q),文化、体育和娱乐业(R),综合(S)
693,,,000790.SZ,,,,,,,,,,,,,,,,
694,,,000813.SZ,,,,,,,,,,,,,,,,
695,,,000908.SZ,,,,,,,,,,,,,,,,
696,,,000915.SZ,,,,,,,,,,,,,,,,
697,,,000919.SZ,,,,,,,,,,,,,,,,
698,,,000931.SZ,,,,,,,,,,,,,,,,
699,,,000952.SZ,,,,,,,,,,,,,,,,
700,,,000953.SZ,,,,,,,,,,,,,,,,
701,,,000989.SZ,,,,,,,,,,,,,,,,
702,,,000999.SZ,,,,,,,,,,,,,,,,
703,,,002001.SZ,,,,,,,,,,,,,,,,
704,,,002007.SZ,,,,,,,,,,,,,,,,
705,,,002019.SZ,,,,,,,,,,,,,,,,
706,,,002020.SZ,,,,,,,,,,,,,,,,
707,,,002022.SZ,,,,,,,,,,,,,,,,
708,,,002030.SZ,,,,,,,,,,,,,,,,
709,,,002038.SZ,,,,,,,,,,,,,,,,
710,,,002082.SZ,,,,,,,,,,,,,,,,
711,,,002099.SZ,,,,,,,,,,,,,,,,
712,,,002102.SZ,,,,,,,,,,,,,,,,
713,,,002107.SZ,,,,,,,,,,,,,,,,
714,,,002118.SZ,,,,,,,,,,,,,,,,
715,,,002166.SZ,,,,,,,,,,,,,,,,
716,,,002198.SZ,,,,,,,,,,,,,,,,
717,,,002252.SZ,,,,,,,,,,,,,,,,
718,,,002262.SZ,,,,,,,,,,,,,,,,
719,,,002275.SZ,,,,,,,,,,,,,,,,
720,,,002287.SZ,,,,,,,,,,,,,,,,
721,,,002294.SZ,,,,,,,,,,,,,,,,
722,,,002317.SZ,,,,,,,,,,,,,,,,
723,,,002332.SZ,,,,,,,,,,,,,,,,
724,,,002349.SZ,,,,,,,,,,,,,,,,
725,,,002365.SZ,,,,,,,,,,,,,,,,
726,,,002370.SZ,,,,,,,,,,,,,,,,
727,,,002390.SZ,,,,,,,,,,,,,,,,
728,,,002393.SZ,,,,,,,,,,,,,,,,
729,,,002399.SZ,,,,,,,,,,,,,,,,
730,,,002411.SZ,,,,,,,,,,,,,,,,
731,,,002412.SZ,,,,,,,,,,,,,,,,
732,,,002422.SZ,,,,,,,,,,,,,,,,
733,,,002424.SZ,,,,,,,,,,,,,,,,
734,,,002433.SZ,,,,,,,,,,,,,,,,
735,,,002435.SZ,,,,,,,,,,,,,,,,
736,,,002437.SZ,,,,,,,,,,,,,,,,
737,,,002550.SZ,,,,,,,,,,,,,,,,
738,,,002562.SZ,,,,,,,,,,,,,,,,
739,,,002566.SZ,,,,,,,,,,,,,,,,
740,,,002581.SZ,,,,,,,,,,,,,,,,
741,,,002603.SZ,,,,,,,,,,,,,,,,
742,,,002644.SZ,,,,,,,,,,,,,,,,
743,,,002653.SZ,,,,,,,,,,,,,,,,
744,,,002675.SZ,,,,,,,,,,,,,,,,
745,,,002688.SZ,,,,,,,,,,,,,,,,
746,,,002693.SZ,,,,,,,,,,,,,,,,
747,,,002728.SZ,,,,,,,,,,,,,,,,
748,,,002737.SZ,,,,,,,,,,,,,,,,
749,,,002750.SZ,,,,,,,,,,,,,,,,
750,,,002755.SZ,,,,,,,,,,,,,,,,
751,,,002773.SZ,,,,,,,,,,,,,,,,
752,,,002793.SZ,,,,,,,,,,,,,,,,
753,,,002817.SZ,,,,,,,,,,,,,,,,
754,,,002821.SZ,,,,,,,,,,,,,,,,
755,,,002826.SZ,,,,,,,,,,,,,,,,
756,,,002864.SZ,,,,,,,,,,,,,,,,
757,,,002868.SZ,,,,,,,,,,,,,,,,
758,,,002873.SZ,,,,,,,,,,,,,,,,
759,,,002880.SZ,,,,,,,,,,,,,,,,
760,,,002898.SZ,,,,,,,,,,,,,,,,
761,,,002900.SZ,,,,,,,,,,,,,,,,
762,,,002907.SZ,,,,,,,,,,,,,,,,
763,,,002923.SZ,,,,,,,,,,,,,,,,
764,,,002932.SZ,,,,,,,,,,,,,,,,
765,,,002940.SZ,,,,,,,,,,,,,,,,
766,,,300006.SZ,,,,,,,,,,,,,,,,
767,,,300009.SZ,,,,,,,,,,,,,,,,
768,,,300016.SZ,,,,,,,,,,,,,,,,
769,,,300026.SZ,,,,,,,,,,,,,,,,
770,,,300039.SZ,,,,,,,,,,,,,,,,
771,,,300086.SZ,,,,,,,,,,,,,,,,
772,,,300108.SZ,,,,,,,,,,,,,,,,
773,,,300110.SZ,,,,,,,,,,,,,,,,
774,,,300111.SZ,,,,,,,,,,,,,,,,
775,,,300119.SZ,,,,,,,,,,,,,,,,
776,,,300122.SZ,,,,,,,,,,,,,,,,
777,,,300142.SZ,,,,,,,,,,,,,,,,
778,,,300147.SZ,,,,,,,,,,,,,,,,
779,,,300158.SZ,,,,,,,,,,,,,,,,
780,,,300181.SZ,,,,,,,,,,,,,,,,
781,,,300194.SZ,,,,,,,,,,,,,,,,
782,,,300199.SZ,,,,,,,,,,,,,,,,
783,,,300204.SZ,,,,,,,,,,,,,,,,
784,,,300233.SZ,,,,,,,,,,,,,,,,
785,,,300239.SZ,,,,,,,,,,,,,,,,
786,,,300254.SZ,,,,,,,,,,,,,,,,
787,,,300255.SZ,,,,,,,,,,,,,,,,
788,,,300267.SZ,,,,,,,,,,,,,,,,
789,,,300289.SZ,,,,,,,,,,,,,,,,
790,,,300294.SZ,,,,,,,,,,,,,,,,
791,,,300357.SZ,,,,,,,,,,,,,,,,
792,,,300363.SZ,,,,,,,,,,,,,,,,
793,,,300381.SZ,,,,,,,,,,,,,,,,
794,,,300406.SZ,,,,,,,,,,,,,,,,
795,,,300434.SZ,,,,,,,,,,,,,,,,
796,,,300436.SZ,,,,,,,,,,,,,,,,
797,,,300439.SZ,,,,,,,,,,,,,,,,
798,,,300452.SZ,,,,,,,,,,,,,,,,
799,,,300463.SZ,,,,,,,,,,,,,,,,
800,,,300482.SZ,,,,,,,,,,,,,,,,
801,,,300485.SZ,,,,,,,,,,,,,,,,
802,,,300497.SZ,,,,,,,,,,,,,,,,
803,,,300501.SZ,,,,,,,,,,,,,,,,
804,,,300519.SZ,,,,,,,,,,,,,,,,
805,,,300534.SZ,,,,,,,,,,,,,,,,
806,,,300558.SZ,,,,,,,,,,,,,,,,
807,,,300573.SZ,,,,,,,,,,,,,,,,
808,,,300583.SZ,,,,,,,,,,,,,,,,
809,,,300584.SZ,,,,,,,,,,,,,,,,
810,,,300601.SZ,,,,,,,,,,,,,,,,
811,,,300630.SZ,,,,,,,,,,,,,,,,
812,,,300636.SZ,,,,,,,,,,,,,,,,
813,,,300639.SZ,,,,,,,,,,,,,,,,
814,,,300642.SZ,,,,,,,,,,,,,,,,
815,,,300683.SZ,,,,,,,,,,,,,,,,
816,,,300685.SZ,,,,,,,,,,,,,,,,
817,,,300702.SZ,,,,,,,,,,,,,,,,
818,,,300705.SZ,,,,,,,,,,,,,,,,
819,,,300723.SZ,,,,,,,,,,,,,,,,
820,,,300832.SZ,,,,,,,,,,,,,,,,
821,,,300841.SZ,,,,,,,,,,,,,,,,
822,,,300871.SZ,,,,,,,,,,,,,,,,
823,,,300878.SZ,,,,,,,,,,,,,,,,
824,,,300942.SZ,,,,,,,,,,,,,,,,
825,,,300966.SZ,,,,,,,,,,,,,,,,
826,,,600062.SH,,,,,,,,,,,,,,,,
827,,,600079.SH,,,,,,,,,,,,,,,,
828,,,600080.SH,,,,,,,,,,,,,,,,
829,,,600085.SH,,,,,,,,,,,,,,,,
830,,,600129.SH,,,,,,,,,,,,,,,,
831,,,600161.SH,,,,,,,,,,,,,,,,
832,,,600195.SH,,,,,,,,,,,,,,,,
833,,,600196.SH,,,,,,,,,,,,,,,,
834,,,600200.SH,,,,,,,,,,,,,,,,
835,,,600201.SH,,,,,,,,,,,,,,,,
836,,,600211.SH,,,,,,,,,,,,,,,,
837,,,600216.SH,,,,,,,,,,,,,,,,
838,,,600222.SH,,,,,,,,,,,,,,,,
839,,,600227.SH,,,,,,,,,,,,,,,,
840,,,600252.SH,,,,,,,,,,,,,,,,
841,,,600267.SH,,,,,,,,,,,,,,,,
842,,,600276.SH,,,,,,,,,,,,,,,,
843,,,600285.SH,,,,,,,,,,,,,,,,
844,,,600299.SH,,,,,,,,,,,,,,,,
845,,,600329.SH,,,,,,,,,,,,,,,,
846,,,600332.SH,,,,,,,,,,,,,,,,
847,,,600351.SH,,,,,,,,,,,,,,,,
848,,,600380.SH,,,,,,,,,,,,,,,,
849,,,600385.SH,,,,,,,,,,,,,,,,
850,,,600420.SH,,,,,,,,,,,,,,,,
851,,,600422.SH,,,,,,,,,,,,,,,,
852,,,600436.SH,,,,,,,,,,,,,,,,
853,,,600479.SH,,,,,,,,,,,,,,,,
854,,,600488.SH,,,,,,,,,,,,,,,,
855,,,600513.SH,,,,,,,,,,,,,,,,
856,,,600518.SH,,,,,,,,,,,,,,,,
857,,,600521.SH,,,,,,,,,,,,,,,,
858,,,600530.SH,,,,,,,,,,,,,,,,
859,,,600535.SH,,,,,,,,,,,,,,,,
860,,,600557.SH,,,,,,,,,,,,,,,,
861,,,600566.SH,,,,,,,,,,,,,,,,
862,,,600568.SH,,,,,,,,,,,,,,,,
863,,,600572.SH,,,,,,,,,,,,,,,,
864,,,600594.SH,,,,,,,,,,,,,,,,
865,,,600613.SH,,,,,,,,,,,,,,,,
866,,,600624.SH,,,,,,,,,,,,,,,,
867,,,600664.SH,,,,,,,,,,,,,,,,
868,,,600671.SH,,,,,,,,,,,,,,,,
869,,,600750.SH,,,,,,,,,,,,,,,,
870,,,600771.SH,,,,,,,,,,,,,,,,
871,,,600781.SH,,,,,,,,,,,,,,,,
872,,,600789.SH,,,,,,,,,,,,,,,,
873,,,600812.SH,,,,,,,,,,,,,,,,
874,,,600851.SH,,,,,,,,,,,,,,,,
875,,,600867.SH,,,,,,,,,,,,,,,,
876,,,600993.SH,,,,,,,,,,,,,,,,
877,,,603087.SH,,,,,,,,,,,,,,,,
878,,,603139.SH,,,,,,,,,,,,,,,,
879,,,603168.SH,,,,,,,,,,,,,,,,
880,,,603222.SH,,,,,,,,,,,,,,,,
881,,,603229.SH,,,,,,,,,,,,,,,,
882,,,603351.SH,,,,,,,,,,,,,,,,
883,,,603367.SH,,,,,,,,,,,,,,,,
884,,,603387.SH,,,,,,,,,,,,,,,,
885,,,603392.SH,,,,,,,,,,,,,,,,
886,,,603439.SH,,,,,,,,,,,,,,,,
887,,,603456.SH,,,,,,,,,,,,,,,,
888,,,603520.SH,,,,,,,,,,,,,,,,
889,,,603538.SH,,,,,,,,,,,,,,,,
890,,,603566.SH,,,,,,,,,,,,,,,,
891,,,603567.SH,,,,,,,,,,,,,,,,
892,,,603590.SH,,,,,,,,,,,,,,,,
893,,,603658.SH,,,,,,,,,,,,,,,,
894,,,603669.SH,,,,,,,,,,,,,,,,
895,,,603676.SH,,,,,,,,,,,,,,,,
896,,,603707.SH,,,,,,,,,,,,,,,,
897,,,603718.SH,,,,,,,,,,,,,,,,
898,,,603811.SH,,,,,,,,,,,,,,,,
899,,,603858.SH,,,,,,,,,,,,,,,,
900,,,603880.SH,,,,,,,,,,,,,,,,
901,,,603896.SH,,,,,,,,,,,,,,,,
902,,,603963.SH,,,,,,,,,,,,,,,,
903,,,603976.SH,,,,,,,,,,,,,,,,
904,,,603998.SH,,,,,,,,,,,,,,,,
905,,,605116.SH,,,,,,,,,,,,,,,,
906,,,605177.SH,,,,,,,,,,,,,,,,
907,,,605199.SH,,,,,,,,,,,,,,,,
908,,,605507.SH,,,,,,,,,,,,,,,,
909,,,688068.SH,,,,,,,,,,,,,,,,
910,,,688076.SH,,,,,,,,,,,,,,,,
911,,,688091.SH,,,,,,,,,,,,,,,,
912,,,688098.SH,,,,,,,,,,,,,,,,
913,,,688117.SH,,,,,,,,,,,,,,,,
914,,,688136.SH,,,,,,,,,,,,,,,,
915,,,688166.SH,,,,,,,,,,,,,,,,
916,,,688177.SH,,,,,,,,,,,,,,,,
917,,,688180.SH,,,,,,,,,,,,,,,,
918,,,688185.SH,,,,,,,,,,,,,,,,
919,,,688189.SH,,,,,,,,,,,,,,,,
920,,,688217.SH,,,,,,,,,,,,,,,,
921,,,688221.SH,,,,,,,,,,,,,,,,
922,,,688266.SH,,,,,,,,,,,,,,,,
923,,,688276.SH,,,,,,,,,,,,,,,,
924,,,688278.SH,,,,,,,,,,,,,,,,
925,,,688289.SH,,,,,,,,,,,,,,,,
926,,,688298.SH,,,,,,,,,,,,,,,,
927,,,688317.SH,,,,,,,,,,,,,,,,
928,,,688319.SH,,,,,,,,,,,,,,,,
929,,,688321.SH,,,,,,,,,,,,,,,,
930,,,688336.SH,,,,,,,,,,,,,,,,
931,,,688338.SH,,,,,,,,,,,,,,,,
932,,,688363.SH,,,,,,,,,,,,,,,,
933,,,688366.SH,,,,,,,,,,,,,,,,
934,,,688393.SH,,,,,,,,,,,,,,,,
935,,,688399.SH,,,,,,,,,,,,,,,,
936,,,688468.SH,,,,,,,,,,,,,,,,
937,,,688505.SH,,,,,,,,,,,,,,,,
938,,,688513.SH,,,,,,,,,,,,,,,,
939,,,688520.SH,,,,,,,,,,,,,,,,
940,,,688526.SH,,,,,,,,,,,,,,,,
941,,,688566.SH,,,,,,,,,,,,,,,,
942,,,688575.SH,,,,,,,,,,,,,,,,
943,,,688578.SH,,,,,,,,,,,,,,,,
944,,,688606.SH,,,,,,,,,,,,,,,,
945,,,688656.SH,,,,,,,,,,,,,,,,
946,,,688658.SH,,,,,,,,,,,,,,,,
947,,,688670.SH,,,,,,,,,,,,,,,,
948,,,688687.SH,,,,,,,,,,,,,,,,
949,,,688767.SH,,,,,,,,,,,,,,,,
950,,,688799.SH,,,,,,,,,,,,,,,,
951,,,000301.SZ,,,,,,,,,,,,,,,,
952,,,000420.SZ,,,,,,,,,,,,,,,,
953,,,000677.SZ,,,,,,,,,,,,,,,,
954,,,000703.SZ,,,,,,,,,,,,,,,,
955,,,000782.SZ,,,,,,,,,,,,,,,,
956,,,000936.SZ,,,,,,,,,,,,,,,,
957,,,000949.SZ,,,,,,,,,,,,,,,,
958,,,002064.SZ,,,,,,,,,,,,,,,,
959,,,002172.SZ,,,,,,,,,,,,,,,,
960,,,002206.SZ,,,,,,,,,,,,,,,,
961,,,002254.SZ,,,,,,,,,,,,,,,,
962,,,002427.SZ,,,,,,,,,,,,,,,,
963,,,002493.SZ,,,,,,,,,,,,,,,,
964,,,002998.SZ,,,,,,,,,,,,,,,,
965,,,300699.SZ,,,,,,,,,,,,,,,,
966,,,300777.SZ,,,,,,,,,,,,,,,,
967,,,300876.SZ,,,,,,,,,,,,,,,,
968,,,301057.SZ,,,,,,,,,,,,,,,,
969,,,600063.SH,,,,,,,,,,,,,,,,
970,,,600346.SH,,,,,,,,,,,,,,,,
971,,,600527.SH,,,,,,,,,,,,,,,,
972,,,600810.SH,,,,,,,,,,,,,,,,
973,,,600889.SH,,,,,,,,,,,,,,,,
974,,,601113.SH,,,,,,,,,,,,,,,,
975,,,601233.SH,,,,,,,,,,,,,,,,
976,,,603225.SH,,,,,,,,,,,,,,,,
977,,,603332.SH,,,,,,,,,,,,,,,,
978,,,688065.SH,,,,,,,,,,,,,,,,
979,,,000589.SZ,,,,,,,,,,,,,,,,
980,,,000599.SZ,,,,,,,,,,,,,,,,
981,,,000619.SZ,,,,,,,,,,,,,,,,
982,,,000659.SZ,,,,,,,,,,,,,,,,
983,,,000859.SZ,,,,,,,,,,,,,,,,
984,,,000887.SZ,,,,,,,,,,,,,,,,
985,,,000973.SZ,,,,,,,,,,,,,,,,
986,,,002014.SZ,,,,,,,,,,,,,,,,
987,,,002108.SZ,,,,,,,,,,,,,,,,
988,,,002224.SZ,,,,,,,,,,,,,,,,
989,,,002243.SZ,,,,,,,,,,,,,,,,
990,,,002263.SZ,,,,,,,,,,,,,,,,
991,,,002324.SZ,,,,,,,,,,,,,,,,
992,,,002372.SZ,,,,,,,,,,,,,,,,
993,,,002381.SZ,,,,,,,,,,,,,,,,
994,,,002395.SZ,,,,,,,,,,,,,,,,
995,,,002420.SZ,,,,,,,,,,,,,,,,
996,,,002522.SZ,,,,,,,,,,,,,,,,
997,,,002585.SZ,,,,,,,,,,,,,,,,
998,,,002641.SZ,,,,,,,,,,,,,,,,
999,,,002676.SZ,,,,,,,,,,,,,,,,
1000,,,002694.SZ,,,,,,,,,,,,,,,,
1001,,,002735.SZ,,,,,,,,,,,,,,,,
1002,,,002768.SZ,,,,,,,,,,,,,,,,
1003,,,002790.SZ,,,,,,,,,,,,,,,,
1004,,,002812.SZ,,,,,,,,,,,,,,,,
1005,,,002825.SZ,,,,,,,,,,,,,,,,
1006,,,002838.SZ,,,,,,,,,,,,,,,,
1007,,,002886.SZ,,,,,,,,,,,,,,,,
1008,,,002984.SZ,,,,,,,,,,,,,,,,
1009,,,003011.SZ,,,,,,,,,,,,,,,,
1010,,,003018.SZ,,,,,,,,,,,,,,,,
1011,,,300021.SZ,,,,,,,,,,,,,,,,
1012,,,300169.SZ,,,,,,,,,,,,,,,,
1013,,,300180.SZ,,,,,,,,,,,,,,,,
1014,,,300198.SZ,,,,,,,,,,,,,,,,
1015,,,300218.SZ,,,,,,,,,,,,,,,,
1016,,,300221.SZ,,,,,,,,,,,,,,,,
1017,,,300230.SZ,,,,,,,,,,,,,,,,
1018,,,300305.SZ,,,,,,,,,,,,,,,,
1019,,,300320.SZ,,,,,,,,,,,,,,,,
1020,,,300321.SZ,,,,,,,,,,,,,,,,
1021,,,300325.SZ,,,,,,,,,,,,,,,,
1022,,,300375.SZ,,,,,,,,,,,,,,,,
1023,,,300478.SZ,,,,,,,,,,,,,,,,
1024,,,300539.SZ,,,,,,,,,,,,,,,,
1025,,,300547.SZ,,,,,,,,,,,,,,,,
1026,,,300586.SZ,,,,,,,,,,,,,,,,
1027,,,300587.SZ,,,,,,,,,,,,,,,,
1028,,,300599.SZ,,,,,,,,,,,,,,,,
1029,,,300644.SZ,,,,,,,,,,,,,,,,
1030,,,300677.SZ,,,,,,,,,,,,,,,,
1031,,,300716.SZ,,,,,,,,,,,,,,,,
1032,,,300717.SZ,,,,,,,,,,,,,,,,
1033,,,300731.SZ,,,,,,,,,,,,,,,,
1034,,,300767.SZ,,,,,,,,,,,,,,,,
1035,,,300806.SZ,,,,,,,,,,,,,,,,
1036,,,300849.SZ,,,,,,,,,,,,,,,,
1037,,,300868.SZ,,,,,,,,,,,,,,,,
1038,,,300905.SZ,,,,,,,,,,,,,,,,
1039,,,300920.SZ,,,,,,,,,,,,,,,,
1040,,,300955.SZ,,,,,,,,,,,,,,,,
1041,,,300980.SZ,,,,,,,,,,,,,,,,
1042,,,300981.SZ,,,,,,,,,,,,,,,,
1043,,,300995.SZ,,,,,,,,,,,,,,,,
1044,,,301000.SZ,,,,,,,,,,,,,,,,
1045,,,301003.SZ,,,,,,,,,,,,,,,,
1046,,,301019.SZ,,,,,,,,,,,,,,,,
1047,,,600143.SH,,,,,,,,,,,,,,,,
1048,,,600182.SH,,,,,,,,,,,,,,,,
1049,,,600210.SH,,,,,,,,,,,,,,,,
1050,,,600458.SH,,,,,,,,,,,,,,,,
1051,,,600469.SH,,,,,,,,,,,,,,,,
1052,,,601058.SH,,,,,,,,,,,,,,,,
1053,,,601163.SH,,,,,,,,,,,,,,,,
1054,,,601500.SH,,,,,,,,,,,,,,,,
1055,,,601966.SH,,,,,,,,,,,,,,,,
1056,,,603033.SH,,,,,,,,,,,,,,,,
1057,,,603212.SH,,,,,,,,,,,,,,,,
1058,,,603221.SH,,,,,,,,,,,,,,,,
1059,,,603266.SH,,,,,,,,,,,,,,,,
1060,,,603408.SH,,,,,,,,,,,,,,,,
1061,,,603580.SH,,,,,,,,,,,,,,,,
1062,,,603615.SH,,,,,,,,,,,,,,,,
1063,,,603655.SH,,,,,,,,,,,,,,,,
1064,,,603657.SH,,,,,,,,,,,,,,,,
1065,,,603726.SH,,,,,,,,,,,,,,,,
1066,,,603806.SH,,,,,,,,,,,,,,,,
1067,,,603856.SH,,,,,,,,,,,,,,,,
1068,,,603991.SH,,,,,,,,,,,,,,,,
1069,,,603992.SH,,,,,,,,,,,,,,,,
1070,,,605255.SH,,,,,,,,,,,,,,,,
1071,,,605488.SH,,,,,,,,,,,,,,,,
1072,,,688026.SH,,,,,,,,,,,,,,,,
1073,,,688219.SH,,,,,,,,,,,,,,,,
1074,,,688299.SH,,,,,,,,,,,,,,,,
1075,,,688323.SH,,,,,,,,,,,,,,,,
1076,,,688386.SH,,,,,,,,,,,,,,,,
1077,,,688560.SH,,,,,,,,,,,,,,,,
1078,,,688669.SH,,,,,,,,,,,,,,,,
1079,,,688680.SH,,,,,,,,,,,,,,,,
1080,,,000012.SZ,,,,,,,,,,,,,,,,
1081,,,000023.SZ,,,,,,,,,,,,,,,,
1082,,,000401.SZ,,,,,,,,,,,,,,,,
1083,,,000672.SZ,,,,,,,,,,,,,,,,
1084,,,000786.SZ,,,,,,,,,,,,,,,,
1085,,,000789.SZ,,,,,,,,,,,,,,,,
1086,,,000795.SZ,,,,,,,,,,,,,,,,
1087,,,000877.SZ,,,,,,,,,,,,,,,,
1088,,,000935.SZ,,,,,,,,,,,,,,,,
1089,,,001212.SZ,,,,,,,,,,,,,,,,
1090,,,002066.SZ,,,,,,,,,,,,,,,,
1091,,,002080.SZ,,,,,,,,,,,,,,,,
1092,,,002088.SZ,,,,,,,,,,,,,,,,
1093,,,002162.SZ,,,,,,,,,,,,,,,,
1094,,,002201.SZ,,,,,,,,,,,,,,,,
1095,,,002205.SZ,,,,,,,,,,,,,,,,
1096,,,002225.SZ,,,,,,,,,,,,,,,,
1097,,,002233.SZ,,,,,,,,,,,,,,,,
1098,,,002271.SZ,,,,,,,,,,,,,,,,
1099,,,002297.SZ,,,,,,,,,,,,,,,,
1100,,,002302.SZ,,,,,,,,,,,,,,,,
1101,,,002392.SZ,,,,,,,,,,,,,,,,
1102,,,002457.SZ,,,,,,,,,,,,,,,,
1103,,,002571.SZ,,,,,,,,,,,,,,,,
1104,,,002596.SZ,,,,,,,,,,,,,,,,
1105,,,002623.SZ,,,,,,,,,,,,,,,,
1106,,,002671.SZ,,,,,,,,,,,,,,,,
1107,,,002742.SZ,,,,,,,,,,,,,,,,
1108,,,002785.SZ,,,,,,,,,,,,,,,,
1109,,,002798.SZ,,,,,,,,,,,,,,,,
1110,,,002918.SZ,,,,,,,,,,,,,,,,
1111,,,003012.SZ,,,,,,,,,,,,,,,,
1112,,,003037.SZ,,,,,,,,,,,,,,,,
1113,,,300064.SZ,,,,,,,,,,,,,,,,
1114,,,300080.SZ,,,,,,,,,,,,,,,,
1115,,,300089.SZ,,,,,,,,,,,,,,,,
1116,,,300093.SZ,,,,,,,,,,,,,,,,
1117,,,300160.SZ,,,,,,,,,,,,,,,,
1118,,,300179.SZ,,,,,,,,,,,,,,,,
1119,,,300196.SZ,,,,,,,,,,,,,,,,
1120,,,300224.SZ,,,,,,,,,,,,,,,,
1121,,,300234.SZ,,,,,,,,,,,,,,,,
1122,,,300374.SZ,,,,,,,,,,,,,,,,
1123,,,300395.SZ,,,,,,,,,,,,,,,,
1124,,,300554.SZ,,,,,,,,,,,,,,,,
1125,,,300606.SZ,,,,,,,,,,,,,,,,
1126,,,300690.SZ,,,,,,,,,,,,,,,,
1127,,,300700.SZ,,,,,,,,,,,,,,,,
1128,,,300715.SZ,,,,,,,,,,,,,,,,
1129,,,300737.SZ,,,,,,,,,,,,,,,,
1130,,,300748.SZ,,,,,,,,,,,,,,,,
1131,,,300861.SZ,,,,,,,,,,,,,,,,
1132,,,300890.SZ,,,,,,,,,,,,,,,,
1133,,,301010.SZ,,,,,,,,,,,,,,,,
1134,,,600145.SH,,,,,,,,,,,,,,,,
1135,,,600172.SH,,,,,,,,,,,,,,,,
1136,,,600176.SH,,,,,,,,,,,,,,,,
1137,,,600293.SH,,,,,,,,,,,,,,,,
1138,,,600326.SH,,,,,,,,,,,,,,,,
1139,,,600366.SH,,,,,,,,,,,,,,,,
1140,,,600425.SH,,,,,,,,,,,,,,,,
1141,,,600449.SH,,,,,,,,,,,,,,,,
1142,,,600516.SH,,,,,,,,,,,,,,,,
1143,,,600529.SH,,,,,,,,,,,,,,,,
1144,,,600585.SH,,,,,,,,,,,,,,,,
1145,,,600586.SH,,,,,,,,,,,,,,,,
1146,,,600660.SH,,,,,,,,,,,,,,,,
1147,,,600668.SH,,,,,,,,,,,,,,,,
1148,,,600678.SH,,,,,,,,,,,,,,,,
1149,,,600720.SH,,,,,,,,,,,,,,,,
1150,,,600724.SH,,,,,,,,,,,,,,,,
1151,,,600801.SH,,,,,,,,,,,,,,,,
1152,,,600802.SH,,,,,,,,,,,,,,,,
1153,,,600819.SH,,,,,,,,,,,,,,,,
1154,,,600876.SH,,,,,,,,,,,,,,,,
1155,,,600881.SH,,,,,,,,,,,,,,,,
1156,,,600883.SH,,,,,,,,,,,,,,,,
1157,,,601636.SH,,,,,,,,,,,,,,,,
1158,,,601865.SH,,,,,,,,,,,,,,,,
1159,,,601992.SH,,,,,,,,,,,,,,,,
1160,,,603021.SH,,,,,,,,,,,,,,,,
1161,,,603256.SH,,,,,,,,,,,,,,,,
1162,,,603268.SH,,,,,,,,,,,,,,,,
1163,,,603385.SH,,,,,,,,,,,,,,,,
1164,,,603578.SH,,,,,,,,,,,,,,,,
1165,,,603601.SH,,,,,,,,,,,,,,,,
1166,,,603612.SH,,,,,,,,,,,,,,,,
1167,,,603616.SH,,,,,,,,,,,,,,,,
1168,,,603663.SH,,,,,,,,,,,,,,,,
1169,,,603688.SH,,,,,,,,,,,,,,,,
1170,,,603725.SH,,,,,,,,,,,,,,,,
1171,,,603826.SH,,,,,,,,,,,,,,,,
1172,,,603838.SH,,,,,,,,,,,,,,,,
1173,,,605006.SH,,,,,,,,,,,,,,,,
1174,,,605122.SH,,,,,,,,,,,,,,,,
1175,,,688077.SH,,,,,,,,,,,,,,,,
1176,,,688233.SH,,,,,,,,,,,,,,,,
1177,,,688300.SH,,,,,,,,,,,,,,,,
1178,,,688398.SH,,,,,,,,,,,,,,,,
1179,,,688598.SH,,,,,,,,,,,,,,,,
1180,,,688733.SH,,,,,,,,,,,,,,,,
1181,,,000708.SZ,,,,,,,,,,,,,,,,
1182,,,000709.SZ,,,,,,,,,,,,,,,,
1183,,,000717.SZ,,,,,,,,,,,,,,,,
1184,,,000761.SZ,,,,,,,,,,,,,,,,
1185,,,000825.SZ,,,,,,,,,,,,,,,,
1186,,,000898.SZ,,,,,,,,,,,,,,,,
1187,,,000932.SZ,,,,,,,,,,,,,,,,
1188,,,000959.SZ,,,,,,,,,,,,,,,,
1189,,,002075.SZ,,,,,,,,,,,,,,,,
1190,,,002110.SZ,,,,,,,,,,,,,,,,
1191,,,002756.SZ,,,,,,,,,,,,,,,,
1192,,,600010.SH,,,,,,,,,,,,,,,,
1193,,,600019.SH,,,,,,,,,,,,,,,,
1194,,,600022.SH,,,,,,,,,,,,,,,,
1195,,,600117.SH,,,,,,,,,,,,,,,,
1196,,,600126.SH,,,,,,,,,,,,,,,,
1197,,,600231.SH,,,,,,,,,,,,,,,,
1198,,,600282.SH,,,,,,,,,,,,,,,,
1199,,,600295.SH,,,,,,,,,,,,,,,,
1200,,,600307.SH,,,,,,,,,,,,,,,,
1201,,,600399.SH,,,,,,,,,,,,,,,,
1202,,,600408.SH,,,,,,,,,,,,,,,,
1203,,,600507.SH,,,,,,,,,,,,,,,,
