,农、林、牧、渔业(A),采矿业(B),制造业(C),电力、热力、燃气及水生产和供应业(D),建筑业(E),批发和零售业(F),交通运输、仓储和邮政业(G),住宿和餐饮业(H),信息传输、软件和信息技术服务业(I),金融业(J),房地产业(K),租赁和商务服务业(L),科学研究和技术服务业(M),水利、环境和公共设施管理业(N),居民服务、修理和其他服务业(O),教育(P),卫生和社会工作(Q),文化、体育和娱乐业(R),综合(S)
116,,,605339.SH,600008.SH,,300892.SZ,,,002316.SZ,600053.SH,,,,,,,,,
117,,,688089.SH,600168.SH,,300945.SZ,,,002322.SZ,600120.SH,,,,,,,,,
118,,,000568.SZ,600187.SH,,301017.SZ,,,002331.SZ,600318.SH,,,,,,,,,
119,,,000596.SZ,600283.SH,,600122.SH,,,002368.SZ,600390.SH,,,,,,,,,
120,,,000729.SZ,600461.SH,,600272.SH,,,002373.SZ,600517.SH,,,,,,,,,
121,,,000752.SZ,600769.SH,,600280.SH,,,002380.SZ,600599.SH,,,,,,,,,
122,,,000799.SZ,600874.SH,,600297.SH,,,002401.SZ,600643.SH,,,,,,,,,
123,,,000848.SZ,601158.SH,,600306.SH,,,002405.SZ,600705.SH,,,,,,,,,
124,,,000858.SZ,601199.SH,,600327.SH,,,002410.SZ,600816.SH,,,,,,,,,
125,,,000860.SZ,601368.SH,,600337.SH,,,002417.SZ,601519.SH,,,,,,,,,
126,,,000869.SZ,603759.SH,,600361.SH,,,002421.SZ,,,,,,,,,,
127,,,000929.SZ,603817.SH,,600386.SH,,,002439.SZ,,,,,,,,,,
128,,,000995.SZ,,,600628.SH,,,002453.SZ,,,,,,,,,,
129,,,002304.SZ,,,600653.SH,,,002474.SZ,,,,,,,,,,
130,,,002461.SZ,,,600655.SH,,,002544.SZ,,,,,,,,,,
131,,,002568.SZ,,,600682.SH,,,002602.SZ,,,,,,,,,,
132,,,002646.SZ,,,600693.SH,,,002609.SZ,,,,,,,,,,
133,,,300997.SZ,,,600694.SH,,,002642.SZ,,,,,,,,,,
134,,,600059.SH,,,600697.SH,,,002649.SZ,,,,,,,,,,
135,,,600084.SH,,,600712.SH,,,002657.SZ,,,,,,,,,,
136,,,600132.SH,,,600713.SH,,,002771.SZ,,,,,,,,,,
137,,,600189.SH,,,600729.SH,,,002777.SZ,,,,,,,,,,
138,,,600197.SH,,,600738.SH,,,002908.SZ,,,,,,,,,,
139,,,600199.SH,,,600774.SH,,,002912.SZ,,,,,,,,,,
140,,,600238.SH,,,600778.SH,,,002929.SZ,,,,,,,,,,
141,,,600300.SH,,,600785.SH,,,002970.SZ,,,,,,,,,,
142,,,600365.SH,,,600814.SH,,,002987.SZ,,,,,,,,,,
143,,,600519.SH,,,600824.SH,,,002990.SZ,,,,,,,,,,
144,,,600543.SH,,,600827.SH,,,003004.SZ,,,,,,,,,,
145,,,600559.SH,,,600828.SH,,,003005.SZ,,,,,,,,,,
146,,,600573.SH,,,600833.SH,,,003007.SZ,,,,,,,,,,
147,,,600600.SH,,,600838.SH,,,003029.SZ,,,,,,,,,,
148,,,600616.SH,,,600857.SH,,,300002.SZ,,,,,,,,,,
149,,,600696.SH,,,600858.SH,,,300010.SZ,,,,,,,,,,
150,,,600702.SH,,,600859.SH,,,300017.SZ,,,,,,,,,,
151,,,600779.SH,,,600861.SH,,,300020.SZ,,,,,,,,,,
152,,,600809.SH,,,600865.SH,,,300025.SZ,,,,,,,,,,
153,,,600962.SH,,,600916.SH,,,300036.SZ,,,,,,,,,,
154,,,601579.SH,,,600976.SH,,,300044.SZ,,,,,,,,,,
155,,,603156.SH,,,601010.SH,,,300047.SZ,,,,,,,,,,
156,,,603198.SH,,,601086.SH,,,300050.SZ,,,,,,,,,,
157,,,603369.SH,,,601116.SH,,,300051.SZ,,,,,,,,,,
158,,,603589.SH,,,601258.SH,,,300074.SZ,,,,,,,,,,
159,,,603711.SH,,,601366.SH,,,300075.SZ,,,,,,,,,,
160,,,603779.SH,,,601607.SH,,,300085.SZ,,,,,,,,,,
161,,,603919.SH,,,601933.SH,,,300096.SZ,,,,,,,,,,
162,,,605198.SH,,,603031.SH,,,300098.SZ,,,,,,,,,,
163,,,605337.SH,,,603101.SH,,,300150.SZ,,,,,,,,,,
164,,,605388.SH,,,603123.SH,,,300166.SZ,,,,,,,,,,
165,,,605499.SH,,,603214.SH,,,300167.SZ,,,,,,,,,,
166,,,000611.SZ,,,603233.SH,,,300168.SZ,,,,,,,,,,
167,,,000726.SZ,,,603353.SH,,,300170.SZ,,,,,,,,,,
168,,,000850.SZ,,,603708.SH,,,300183.SZ,,,,,,,,,,
169,,,000955.SZ,,,603719.SH,,,300188.SZ,,,,,,,,,,
170,,,000982.SZ,,,603777.SH,,,300212.SZ,,,,,,,,,,
171,,,002042.SZ,,,603883.SH,,,300229.SZ,,,,,,,,,,
172,,,002083.SZ,,,603900.SH,,,300231.SZ,,,,,,,,,,
173,,,002087.SZ,,,603939.SH,,,300235.SZ,,,,,,,,,,
174,,,002144.SZ,,,605136.SH,,,300245.SZ,,,,,,,,,,
175,,,002193.SZ,,,605188.SH,,,300248.SZ,,,,,,,,,,
176,,,002293.SZ,,,605266.SH,,,300249.SZ,,,,,,,,,,
177,,,002327.SZ,,,605599.SH,,,300250.SZ,,,,,,,,,,
178,,,002394.SZ,,,,,,300253.SZ,,,,,,,,,,
179,,,002397.SZ,,,,,,300264.SZ,,,,,,,,,,
180,,,002516.SZ,,,,,,300271.SZ,,,,,,,,,,
181,,,003041.SZ,,,,,,300275.SZ,,,,,,,,,,
182,,,300163.SZ,,,,,,300277.SZ,,,,,,,,,,
183,,,300577.SZ,,,,,,300287.SZ,,,,,,,,,,
184,,,300658.SZ,,,,,,300290.SZ,,,,,,,,,,
185,,,300819.SZ,,,,,,300292.SZ,,,,,,,,,,
186,,,300877.SZ,,,,,,300297.SZ,,,,,,,,,,
187,,,300888.SZ,,,,,,300299.SZ,,,,,,,,,,
188,,,300918.SZ,,,,,,300300.SZ,,,,,,,,,,
189,,,300952.SZ,,,,,,300302.SZ,,,,,,,,,,
190,,,300993.SZ,,,,,,300311.SZ,,,,,,,,,,
191,,,600156.SH,,,,,,300312.SZ,,,,,,,,,,
192,,,600220.SH,,,,,,300324.SZ,,,,,,,,,,
193,,,600232.SH,,,,,,300330.SZ,,,,,,,,,,
194,,,600448.SH,,,,,,300333.SZ,,,,,,,,,,
195,,,600493.SH,,,,,,300339.SZ,,,,,,,,,,
196,,,600626.SH,,,,,,300344.SZ,,,,,,,,,,
197,,,600630.SH,,,,,,300348.SZ,,,,,,,,,,
198,,,600689.SH,,,,,,300349.SZ,,,,,,,,,,
199,,,600987.SH,,,,,,300350.SZ,,,,,,,,,,
200,,,601339.SH,,,,,,300352.SZ,,,,,,,,,,
201,,,601599.SH,,,,,,300359.SZ,,,,,,,,,,
202,,,603055.SH,,,,,,300365.SZ,,,,,,,,,,
203,,,603238.SH,,,,,,300366.SZ,,,,,,,,,,
204,,,603365.SH,,,,,,300369.SZ,,,,,,,,,,
205,,,603558.SH,,,,,,300377.SZ,,,,,,,,,,
